trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 1.499925000624998}",20,0,-82.36518078741469,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.005, 'e': 1.4998312531640388}",25,0,-37.56632139584943,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
3,False,"{'a': 0.005, 'e': 1.4997000099998665}",30,0,-86.55905920196875,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.005, 'e': 1.4995312744135538}",30,0,-127.02151095004535,"{0: 19, 1: 1, 2: 7, 3: 2, 4: 1}",0
5,False,"{'a': 0.005, 'e': 1.4993250506234812}",35,0,-194.2462859019235,"{0: 20, 1: 4, 2: 7, 3: 2, 4: 2}",0
6,False,"{'a': 0.005, 'e': 1.4990813437852328}",20,0,-131.169428549999,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.005, 'e': 1.4988001599914669}",25,11,-138.15817382502132,"{0: 6, 1: 0, 2: 5, 3: 1, 4: 2}",1
8,False,"{'a': 0.005, 'e': 1.4984815062717636}",25,6,-115.96907199384185,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 2}",1
9,False,"{'a': 0.005, 'e': 1.4981253905924494}",20,0,-89.20411816619603,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.005, 'e': 1.4977318218563977}",20,0,-70.85914498647168,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
11,False,"{'a': 0.005, 'e': 1.4973008099028062}",35,0,-216.0247271115006,"{0: 21, 1: 3, 2: 6, 3: 2, 4: 3}",0
12,False,"{'a': 0.005, 'e': 1.4968323655069518}",25,0,-153.27795161136473,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
13,False,"{'a': 0.005, 'e': 1.4963265003799193}",25,0,-195.73693645034257,"{0: 12, 1: 2, 2: 6, 3: 3, 4: 2}",0
14,False,"{'a': 0.005, 'e': 1.4957832271683111}",20,0,-105.6927108009689,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.005, 'e': 1.495202559453929}",20,0,-105.92603109224535,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
