trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-113.03865031972512,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-158.52300384338326,"{0: 16, 1: 1, 2: 11, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-75.3335397942463,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-171.78793242810247,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-97.0419275412187,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-89.26139389699846,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-71.73390240610179,"{0: 15, 1: 2, 2: 0, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-121.66688359019878,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-66.2165701320093,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-83.22496875146463,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-31.94632192089348,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,6,-37.90216697317249,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,11,-5.841703319043467,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,0,-58.43293112847086,"{0: 28, 1: 2, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,4,-142.7306883092286,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 4}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,8,-38.10304937754383,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,13,14.103837800561985,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,15,14.185809069263602,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,19,-2.881423723846895,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,20,16.821067640438265,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,18,17.928675108825974,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",35,11,-50.69776708486733,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 2}",1
3,True,"{'a': 0, 'e': 0}",20,0,-58.48120250458767,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,3,-45.819482417523076,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",25,14,-26.227836024644184,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,17,16.468892772043837,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-56.7591637280544,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,0,-7.443843870492099,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,9,6.50800250729865,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",35,17,-12.286214047319556,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
