trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.8431397121411,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-275.67737425364453,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 5}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.34140958078544,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.4309784193263,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-214.89936998648832,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.4597936423316,"{0: 7, 1: 3, 2: 6, 3: 4, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-183.74964523895437,"{0: 7, 1: 4, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-256.86811380272826,"{0: 9, 1: 3, 2: 1, 3: 2, 4: 5}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.60389525869118,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.8952620489679,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.72022080713374,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.835771166503775,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.59177353825154,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.72951596202418,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-170.12690954285372,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,13,-19.567142898162718,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,2,-171.42348175242523,"{0: 12, 1: 1, 2: 6, 3: 2, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.73769580672345,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.74363331943754,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-164.90872765533857,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,5,-167.54217302739033,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-28.43367081604495,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,7,-123.36965154288723,"{0: 4, 1: 4, 2: 3, 3: 0, 4: 2}",1
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-128.6068997921817,"{0: 13, 1: 1, 2: 10, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.49919183285016,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,15,-81.44870052615411,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-112.05444771041967,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-149.46676806474835,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-244.7667359861819,"{0: 15, 1: 4, 2: 6, 3: 1, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-164.03663030500886,"{0: 20, 1: 4, 2: 1, 3: 2, 4: 3}",0
